D400: ハングル音節ポス
D4AE: ハングル音節Pweop
D4AF: ハングル音節Pweoh
D4B0: ハングル音節Pwe
D4B1: ハングル音節Pweg
D4B2: ハングル音節Pwegg
D4B3: ハングル音節Pwegs
D4B4: ハングル音節語
D4B5: ハングル音節Pwenj
D4B6: ハングル音節プウェン
D4B7: ハングル音節
D4B8: ハングル音節
D4B9: ハングル音節語
D4BA: ハングル音節語
D4BB: ハングル音節Pwelb
D4BC: ハングル音節文字
D4BD: ハングル音節語
D4BE: ハングル音節Pwelp
D4BF: ハングル音節語
D4C0: ハングル音節Pwem
D4C1: ハングル音節Pweb
D4C2: ハングル音節ウェブ
D4C3: ハングル音節
D4C4: ハングルシラブルプス
D4C5: ハングル音節Pweng
D4C6: ハングル音節Pwej
D4C7: ハングル音節Pwec
D4C8: ハングル音節Pwek
D4C9: ハングル音節Pwet
D4CA: ハングル音節Pwep
D4CB: ハングル音節Pweh
D4CC: ハングル音節Pwi
D4CD: ハングル音節Pwig
D4CE: ハングル音節Pwigg
D4CF: ハングルシラブルプイッグ
D4D0: ハングル音節Pwin
D4D1: ハングル音節Pwinj
D4D2: ハングル音節プウィン
D4D3: ハングル音節Pwid
D4D4: ハングル音節Pwil
D4D5: ハングル音節Pwilg
D4D6: ハングル音節Pwilm
D4D7: ハングル音節Pwilb
D4D8: ハングル音節Pwils
D4D9: ハングル音節Pwilt
D4DA: ハングル音節Pwilp
D4DB: ハングル音節Pwilh
D4DC: ハングル音節Pwim
D4DD: ハングル音節Pwib
D4DE: ハングル音節Pwib
D4DF: ハングル音節Pwis
D4E0: ハングル音節プイス
D4E1: ハングル音節文字
D4E2: ハングル音節Pwij
D4E3: ハングル音節Pwic
D4E4: ハングル音節Pwik
D4E5: ハングル音節ピット
D4E6: ハングル音節Pwip
D4E7: ハングル音節Pwih
D4E8: ハングル音節ピュ
D4E9: ハングル音節ピッグ
D4EA: ハングル音節ピュッグ
D4EB: ハングル音節ピグス
D4EC: ハングル音節ピュン
D4ED: ハングル音節ピュニ
D4EE: ハングル音節ピュン
D4EF: ハングル音節Pyud
D4F0: ハングル音節ピュール
D4F1: ハングル音節ピュルグ
D4F2: ハングル音節ピュルム
D4F3: ハングル音節Pyulb
D4F4: ハングル音節ピュル
D4F5: ハングル音節ピルト
D4F6: ハングル音節ピュルプ
D4F7: ハングル音節ピュル
D4F8: ハングル音節ピュム
D4F9: ハングル音節パブ
D4FA: ハングル音節パブ
D4FB: ハングル音節ピウス
D4FC: ハングル音節ピュース
D4FD: ハングル音節ピョン
D4FE: ハングル音節ピュイ
D4FF: ハングル音節ピュック
