2A00: N進丸ドット演算子
2A62: 論理的またはダブルオーバーバーあり
2A63: 論理的または二重下線付き
2A64: Z表記ドメインの反制限
2A65: Z表記範囲の制限
2A66: 下のドットと等号
2A67: 上のドットと同じ
2A68: 二重垂直ストロークを備えたトリプル水平バー: 同一かつ平行
2A69: トリプル垂直ストローク付きのトリプル水平バー
2A6A: 上のドットを持つティルド演算子
2A6B: 上昇ドットのあるティルド演算子
2A6C: 類似マイナス類似
2A6D: 上のドットと一致
2A6E: アスタリスクと等しい
2A6F: 曲折アクセントとほぼ同等
2A70: ほぼ等しいか等しい
2A71: プラス記号の上の等しい記号
2A72: 等号の上のプラス記号
2A73: Tilde演算子の上の等号
2A74: ダブルコロンイコール
2A75: 2つの連続する等号
2A76: 3つの連続する等号
2A77: 上の2つのドットと下の2つのドットで等号
2A78: 上の4つの点と同等
2A79: 円の内側で小なり
2A7A: 円の内側に大なり
2A7B: 上記の疑問符で小なり
2A7C: 上記の疑問符で大なり
2A7D: より小さいまたは傾斜が等しい
2A7E: より大きいまたは傾斜が等しい
2A7F: 内側に点がある場合と同じ、またはより小さいまたは傾斜
2A80: 内側に点がある場合と同じかそれより大きいまたは傾斜
2A81: 上のドットと等しい、またはより小さい、または傾斜
2A82: 上のドットと等しいまたはより大きい傾斜
2A83: 右上のドットと等しい、またはより小さい、または傾斜
2A84: 左上のドットと等しい、またはより大きい傾斜
2A85: 小なりまたは概算
2A86: 大なりまたは近似
2A87: 小なりおよび単一行が等しくない
2A88: 大なり1行が等しくない
2A89: より小さくておおよそではない
2A8A: 大なり大体
2A8B: 二重線の上の小なりは大なりの上と等しい
2A8C: 二重線の上の大なり小なりの上の等しい
2A8D: 上記以上または以下
2A8E: 大なり小なり類似または等しい
2A8F: 大なり小なり上記以上
2A90: 上記の小なり上の同様の小なり
2A91: 二重線より上の小なり等しい
2A92: 二重線より上の大なり小なり
2A93: より上の傾斜が等しい以上の上の傾斜が等しい
2A94: 上の傾斜が等しい以上上の傾斜が等しい以上
2A95: 等しいかより小さい
2A96: 等しいかそれ以上の傾斜
2A97: 内側のドットと等しい、または小さい
2A98: 内側のドットと等しいかそれ以上の傾斜
2A99: 以下の二重線
2A9A: 二重線以上
2A9B: 二重線が等しいかより小さい
2A9C: 二重線が等しいか、それより大きい
2A9D: 類似またはより小
2A9E: 類似またはより大きい
2A9F: 等号の上のより少ない上記の類似符号
2AA0: 等号より上の同様の記号
2AA1: 二重入れ子小なり: 絶対的な連続性
2AA2: 二重の入れ子の大なり
2AA3: アンダーバー付き二重入れ子小なり
2AA4: 大なり重複小なり
2AA5: 小なりの横にある大なり
2AA6: 曲線で閉じられない
2AA7: 曲線で閉じている以上
2AA8: 等角線の上の曲線で閉じられる
2AA9: 等角線の上の曲線で閉じる
2AAA: より小さい
2AAB: より大きい
2AAC: より小さいか等しい
2AAD: より大きいか等しい
2AAE: 上のでこぼこと等しい記号
2AAF: 単一行の等号の上に先行する
2AB0: 単一行の等号の上で成功する
2AB1: 単一行の上に先行する
2AB2: 単一行の上で成功すると等しくない
2AB3: 等号の上に先行
2AB4: 等号の上に成功する
2AB5: 上記に先行しない
2AB6: 上記以外の成功
2AB7: ほぼ等しい上に先行する
2AB8: ほぼ等しい上で成功する
2AB9: 上に先行する
2ABA: 上で成功するのとほぼ同じではない
2ABB: 二重先行
2ABC: 二重の成功
2ABD: ドット付きサブセット
2ABE: ドット付きスーパーセット
2ABF: 下のプラス記号付きのサブセット
2AC0: 下のプラス記号付きのスーパーセット
2AC1: 下の乗算記号付きのサブセット
2AC2: 下の乗算記号付きスーパーセット
2AC3: 上のドットのサブセットまたは等しい
2AC4: 上のドットとスーパーセットまたは等しい
2AC5: 等号のサブセット
2AC6: 等号の上のスーパーセット
2AC7: 上記のチルド演算子のサブセット
2AC8: 上記のチルド演算子のスーパーセット
2AC9: ほぼ等しい上記のサブセット
2ACA: 上記とほぼ等しいスーパーセット
2ACB: 上記のサブセットが等しくない
2ACC: 上記のスーパーセットが等しくない
2ACD: スクエアレフトオープンボックスオペレーター
2ACE: スクエアライトオープンボックスオペレーター
2ACF: クローズドサブセット
2AD0: クローズスーパーセット
2AD1: 閉じたサブセットまたは等しい
2AD2: クローズスーパーセットまたは等しい
2AD3: スーパーセットの上のサブセット
2AD4: サブセットの上にスーパーセット
2AD5: サブセット上のサブセット
2AD6: スーパーセット上スーパーセット
2AD7: サブセット横のスーパーセット
2AD8: サブセットの横にあるスーパーセットとダッシュで結合
2AD9: 下向きに開く要素
2ADA: ティートップと熊手
2ADB: 横断交差点
2ADC: フォーク: 独立していない
2ADD: フォークなし: 独立した
2ADE: 短い左タック
2ADF: ショートタック
2AE0: ショートタック
2AE1: Sと垂直
2AE2: 縦棒トリプル右回転木戸: 通常満足
2AE3: 二重垂直バー左ターンスタイル
2AE4: 垂直バー二重左ターンスタイル
2AE5: 二重縦棒二重左の回転木戸
2AE6: 二重垂直の左メンバーからの長いダッシュ
2AE7: オーバーバー付きショートタック
2AE8: アンダーバー付きショートタック
2AE9: 上のショートタック上のショートタック
2AEA: ダブルダウンタック
2AEB: ダブルアップタック: 独立
2AEC: 二重ストロークは署名しない
2AED: 逆二重ストロークのサインがない
2AEE: 逆否定スラッシュで分割しない
2AEF: 上の円で垂直線
2AF0: 下の円で垂直線
2AF1: 下の円で下タック: 必ず満足する
2AF2: 水平ストロークと平行
2AF3: チルド演算子と並列
2AF4: トリプル垂直バー二項関係: インターリーブ
2AF5: 水平ストロークのトリプルバー
2AF6: トリプルコロン演算子
2AF7: トリプルネスト小なり
2AF8: トリプルネスト大なり
2AF9: 二重線の小なりまたは等しい
2AFA: 二重線の大なりまたは等しい
2AFB: 三連ソリッド二項関係
2AFC: 大型トリプル垂直バーオペレーター
2AFD: 二重Solidusオペレータ
2AFE: 白い縦棒: ディクストラ選択
2AFF: Nアリーホワイトバーティカルバー: n-ary dijkstraの選択
