AC00: ハングル音節Ga
ACE9: ハングル音節ゴルグ
ACEA: ハングル音節ゴルム
ACEB: ハングル音節ゴルブ
ACEC: ハングル音節ゴル
ACED: ハングル音節ゴルト
ACEE: ハングル音節ゴルプ
ACEF: ハングル音節ゴル
ACF0: ハングル音節ゴム
ACF1: ハングル音節ゴブ
ACF2: ハングル音節ゴブ
ACF3: ハングル音節ゴス
ACF4: ハングル音節ゴス
ACF5: ハングル音節ゴング
ACF6: ハングル音節文字
ACF7: ハングル音節Goc
ACF8: ハングル音節ゴック
ACF9: ハングル音節
ACFA: ハングル音節Gop
ACFB: ハングル音節ゴー
ACFC: ハングル音節Gwa
ACFD: ハングル音節グワグ
ACFE: ハングル音節Gwagg
ACFF: ハングル音節グァグ
