CE00: ハングル音節Cwik
CECD: ハングル音節キヤニ
CECE: ハングル音節キヤン
CECF: ハングル音節キヤード
CED0: ハングル音節キヤエル
CED1: ハングル音節キヤエル
CED2: ハングル音節キヤエル
CED3: ハングル音節キヤエルプ
CED4: ハングル音節文字
CED5: ハングル音節文字
CED6: ハングル音節キヤープ
CED7: ハングル音節キヤエル
CED8: ハングル音節キヤム
CED9: ハングル音節文字
CEDA: ハングル音節文字
CEDB: ハングル音節文字
CEDC: ハングル音節接吻
CEDD: ハングル音節ケーン
CEDE: ハングル音節キヤエ
CEDF: ハングル音節キヤック
CEE0: ハングル音節キヤック
CEE1: ハングル音節チャット
CEE2: ハングル音節文字
CEE3: ハングル音節文字
CEE4: ハングル音節
CEE5: ハングル音節キーホルダー
CEE6: ハングル音節キー
CEE7: ハングル音節キー
CEE8: ハングル音節
CEE9: ハングル音節
CEEA: ハングル音節Keonh
CEEB: ハングル音節キー
CEEC: ハングル音節ケオル
CEED: ハングル音節Keolg
CEEE: ハングル音節ケルム
CEEF: ハングル音節ケオルブ
CEF0: ハングル音節キール
CEF1: ハングル音節Keolt
CEF2: ハングル音節Keolp
CEF3: ハングル音節ケオル
CEF4: ハングル音節Keom
CEF5: ハングル音節Keob
CEF6: ハングル音節キー
CEF7: ハングル音節
CEF8: ハングル音節キオス
CEF9: ハングル音節慶
CEFA: ハングル音節
CEFB: ハングル音節Keoc
CEFC: ハングル音節Keok
CEFD: ハングル音節Keot
CEFE: ハングル音節キープ
CEFF: ハングル音節
